Kingdom	Phylum	Class	Order	Family	Genus	Species				
Viruses	Cossaviricota	Papovaviricetes	Zurhausenvirales	Papillomaviridae	Betapapillomavirus	Betapapillomavirus 2				
Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Reoviridae	Orbivirus	Orbivirus sp.				
Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Reoviridae	Orbivirus	Orbivirus sp.				
Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Reoviridae	Orbivirus	Orbivirus sp.				
Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Reoviridae	Orbivirus	Orbivirus sp.				
Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Reoviridae	Orbivirus	Orbivirus sp.				
Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Reoviridae	Orbivirus	Orbivirus sp.				
Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Reoviridae	Orbivirus	Orbivirus sp.				
Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Reoviridae	Orbivirus	Orbivirus sp.				
Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Reoviridae	Orbivirus	Orbivirus sp.				
Viruses	Pisuviricota	Duplopiviricetes	Durnavirales	Partitiviridae	Gammapartitivirus	Gammapartitivirus sp.				
Viruses	Cossaviricota	Quintoviricetes	Piccovirales	Parvoviridae	unclassified	Parvoviridae sp.				
Viruses	Cossaviricota	Quintoviricetes	Piccovirales	Parvoviridae	unclassified	Parvoviridae sp.				
Viruses	Negarnaviricota	Ellioviricetes	Bunyavirales	Phasmaviridae	Orthophasmavirus	Aedes orthophasmavirus sp.				
Viruses	Negarnaviricota	Ellioviricetes	Bunyavirales	Phasmaviridae	Orthophasmavirus	Aedes orthophasmavirus sp.				
Viruses	Negarnaviricota	Ellioviricetes	Bunyavirales	Phasmaviridae	Orthophasmavirus	Aedes orthophasmavirus sp.				
Viruses	unclassified	unclassified	unclassified	Negeviridae	unclassified	Culex negev-like virus 1				
Viruses	Negarnaviricota	Monjiviricetes	Mononegavirales	Rhabdoviridae	unclassified	Culex rhabdovirus				
Viruses	Negarnaviricota	Monjiviricetes	Mononegavirales	Rhabdoviridae	unclassified	Culex rhabdovirus				
Viruses	Cressdnaviricota	Arfiviricetes	Cirlivirales	Circoviridae	Circovirus	Mosquito associated circovirus 1				
Viruses	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified				
Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Iflaviridae	unclassified	SI bee virus 1				
Viruses	Pisuviricota	Duplopiviricetes	Durnavirales	Partitiviridae	Gammapartitivirus	Gammapartitivirus sp.				
Viruses	unclassified	unclassified	unclassified	unclassified	unclassified	Wuhan insect virus 26				
Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Iflaviridae	unclassified	SI bee virus 1				
Viruses	unclassified	unclassified	unclassified	unclassified	unclassified	Wuhan insect virus 26				
Viruses	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Totiviridae	unclassified	Uromyces totivirus D				
Viruses	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Totiviridae	unclassified	Uromyces totivirus D				
Viruses	unclassified	unclassified	unclassified	Negeviridae	Negevirus	Negev-like virus 174				
Viruses	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Totiviridae	Totivirus	Culex vishnui subgroup totivirus				
Viruses	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Totiviridae	Totivirus	Culex vishnui subgroup totivirus				
Viruses	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Totiviridae	Totivirus	Culex vishnui subgroup totivirus				
Viruses	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Totiviridae	Totivirus	Culex vishnui subgroup totivirus				
